Agent,Alpha,Gamma,Done,Episod,Step
Agent-0,0.1,0.1,False,100.0,100.0
Agent-1,0.1,0.2,True,20.5,50.0
Agent-2,0.1,0.3,True,12.5,50.0
Agent-3,0.1,0.4,True,10.0,50.0
Agent-4,0.1,0.5,True,8.0,50.5
Agent-5,0.1,0.6,True,13.0,50.0
Agent-6,0.1,0.7,True,10.0,50.0
Agent-7,0.1,0.8,True,9.75,50.0
Agent-8,0.1,0.9,True,7.0,50.5
Agent-9,0.1,1.0,True,7.5,50.0
Agent-10,0.2,0.1,False,100.0,100.0
Agent-11,0.2,0.2,True,10.0,50.5
Agent-12,0.2,0.3,True,6.0,50.5
Agent-13,0.2,0.4,True,4.75,50.0
Agent-14,0.2,0.5,True,8.5,50.0
Agent-15,0.2,0.6,True,5.5,50.0
Agent-16,0.2,0.7,True,4.25,50.0
Agent-17,0.2,0.8,True,5.0,50.0
Agent-18,0.2,0.9,True,5.5,50.0
Agent-19,0.2,1.0,True,4.25,50.5
Agent-20,0.3,0.1,False,100.0,100.0
Agent-21,0.3,0.2,True,6.0,50.0
Agent-22,0.3,0.3,True,5.75,50.5
Agent-23,0.3,0.4,True,3.0,50.0
Agent-24,0.3,0.5,True,4.5,50.0
Agent-25,0.3,0.6,True,2.75,50.0
Agent-26,0.3,0.7,True,3.25,50.0
Agent-27,0.3,0.8,True,3.0,50.0
Agent-28,0.3,0.9,True,2.75,52.0
Agent-29,0.3,1.0,True,3.0,50.5
Agent-30,0.4,0.1,False,100.0,100.0
Agent-31,0.4,0.2,True,5.25,50.0
Agent-32,0.4,0.3,True,3.0,50.0
Agent-33,0.4,0.4,True,5.0,50.0
Agent-34,0.4,0.5,True,3.25,50.0
Agent-35,0.4,0.6,True,4.0,50.0
Agent-36,0.4,0.7,True,5.5,50.0
Agent-37,0.4,0.8,True,3.0,52.0
Agent-38,0.4,0.9,True,3.25,51.5
Agent-39,0.4,1.0,True,3.0,53.5
Agent-40,0.5,0.1,False,100.0,100.0
Agent-41,0.5,0.2,True,4.75,50.0
Agent-42,0.5,0.3,True,4.5,50.0
Agent-43,0.5,0.4,True,3.25,50.0
Agent-44,0.5,0.5,True,3.0,50.0
Agent-45,0.5,0.6,True,6.0,50.0
Agent-46,0.5,0.7,True,2.75,50.5
Agent-47,0.5,0.8,True,2.5,51.0
Agent-48,0.5,0.9,True,2.5,53.0
Agent-49,0.5,1.0,True,3.0,51.0
Agent-50,0.6,0.1,False,100.0,100.0
Agent-51,0.6,0.2,True,3.25,50.0
Agent-52,0.6,0.3,True,3.5,50.0
Agent-53,0.6,0.4,True,3.75,50.0
Agent-54,0.6,0.5,True,3.5,50.0
Agent-55,0.6,0.6,True,3.25,50.5
Agent-56,0.6,0.7,True,2.75,50.5
Agent-57,0.6,0.8,True,2.25,52.5
Agent-58,0.6,0.9,True,2.75,54.5
Agent-59,0.6,1.0,True,1.75,51.0
Agent-60,0.7,0.1,False,100.0,100.0
Agent-61,0.7,0.2,True,3.5,50.0
Agent-62,0.7,0.3,True,3.0,50.0
Agent-63,0.7,0.4,True,3.5,50.0
Agent-64,0.7,0.5,True,2.0,50.0
Agent-65,0.7,0.6,True,2.25,50.0
Agent-66,0.7,0.7,True,2.5,50.0
Agent-67,0.7,0.8,True,2.5,51.5
Agent-68,0.7,0.9,True,2.75,55.0
Agent-69,0.7,1.0,True,3.0,53.0
Agent-70,0.8,0.1,False,100.0,100.0
Agent-71,0.8,0.2,True,4.0,50.0
Agent-72,0.8,0.3,True,4.0,50.0
Agent-73,0.8,0.4,True,3.25,50.0
Agent-74,0.8,0.5,True,4.0,50.0
Agent-75,0.8,0.6,True,3.25,52.5
Agent-76,0.8,0.7,True,2.75,53.0
Agent-77,0.8,0.8,True,3.5,50.0
Agent-78,0.8,0.9,True,2.25,53.0
Agent-79,0.8,1.0,True,3.75,56.5
Agent-80,0.9,0.1,False,100.0,100.0
Agent-81,0.9,0.2,True,3.25,50.5
Agent-82,0.9,0.3,True,3.75,50.0
Agent-83,0.9,0.4,True,2.75,50.0
Agent-84,0.9,0.5,True,2.75,50.5
Agent-85,0.9,0.6,True,3.0,50.5
Agent-86,0.9,0.7,True,2.25,51.5
Agent-87,0.9,0.8,True,3.0,50.5
Agent-88,0.9,0.9,True,2.5,52.5
Agent-89,0.9,1.0,True,2.75,51.5
Agent-90,1.0,0.1,False,100.0,100.0
Agent-91,1.0,0.2,True,3.5,50.0
Agent-92,1.0,0.3,True,3.5,50.0
Agent-93,1.0,0.4,True,4.25,50.0
Agent-94,1.0,0.5,True,2.0,51.5
Agent-95,1.0,0.6,True,2.5,51.5
Agent-96,1.0,0.7,True,2.0,51.5
Agent-97,1.0,0.8,True,3.25,50.5
Agent-98,1.0,0.9,True,3.0,50.5
Agent-99,1.0,1.0,False,100.0,100.0
